id,created_at,source,original_text,lang,favorite_count,retweet_count,original_author,hashtags,user_mentions,place,place_coord_boundaries
1.16E+18,Sat Aug 10 21:07:47 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @evankirstel: 🚜 Not your grandfather’s tractor #ai #AutonomousVehicles #AgTech #farming #agriculture   https://t.co/Sd7Hz4j2um,en,0,76,freylev,"ai, AutonomousVehicles, AgTech, farming, agriculture",evankirstel,"santa marta,  colombia",
1.16E+18,Sat Aug 10 21:06:59 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @Ronald_vanLoon: Using #AI  to prevent road accidents before they happen
by @SamsaraHQ |

#ArtificialIntelligence #InternetofThings #IoT…",en,0,75,ProcurementStar,"AI, ArtificialIntelligence, InternetofThings, IoT","Ronald_vanLoon, SamsaraHQ","Frankfurt on the Main, Germany",
1.16E+18,Sat Aug 10 21:06:27 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @evankirstel: 🚜 Not your grandfather’s tractor #ai #AutonomousVehicles #AgTech #farming #agriculture   https://t.co/Sd7Hz4j2um,en,0,76,ProcurementStar,"ai, AutonomousVehicles, AgTech, farming, agriculture",evankirstel,"Frankfurt on the Main, Germany",
1.16E+18,Sat Aug 10 21:04:02 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @mvollmer1: Making motorcycles ""smart"" and safer with the help of #AI. Via @seeker #AI #transportation #AutonomousVehicles @Paula_Piccar…",en,0,107,ProcurementStar,"AI, AI, transportation, AutonomousVehicles","mvollmer1, Seeker","Frankfurt on the Main, Germany",
1.16E+18,Sat Aug 10 21:03:49 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @mvollmer1: Elon Musk’s new ‘robo-taxi’ plan for #Tesla self-driving cars is game-changing - Is it?

#SelfDriving #Driverless #Autonomou…",en,0,11,ProcurementStar,"Tesla, SelfDriving, Driverless",mvollmer1,"Frankfurt on the Main, Germany",
1.16E+18,Sat Aug 10 21:03:39 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @mvollmer1: Testing #ArtificialIntelligence of #autonomousvehicles in artificial environment. Via @seeker #AI #IoT 
@pascal_bornet @Hein…",en,0,57,ProcurementStar,"ArtificialIntelligence, autonomousvehicles, AI, IoT","mvollmer1, Seeker, pascal_bornet","Frankfurt on the Main, Germany",
1.16E+18,Sat Aug 10 21:03:37 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @JeroenBartelse: Self-driving cars, robotic surgeries; the future 5G promises — internet connections so fast they'll support an entirely…",en,0,42,ProcurementStar,,JeroenBartelse,"Frankfurt on the Main, Germany",
1.16E+18,Sat Aug 10 20:55:21 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @JeroenBartelse: Self-driving cars, robotic surgeries; the future 5G promises — internet connections so fast they'll support an entirely…",en,0,42,maryc_reynolds,,JeroenBartelse,"Kildare, Ireland",
1.16E+18,Sat Aug 10 20:49:32 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @jeanyvesgonin: Roller #Robot with balance and agility &gt;&gt;&gt; @IntEngineering and @ANYbotics via @MikeQuindazzi &gt;&gt;&gt; #AI #IoT #4IR #Robotics…,en,0,46,BahSerign,"Robot, AI, IoT, 4IR, Robotics","jeanyvesgonin, IntEngineering, anybotics, MikeQuindazzi","Bakoteh, The Gambia",
1.16E+18,Sat Aug 10 20:46:38 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Ronald_vanLoon: Valet #Robot that can park your car for you
by @thisisinsider |

#InternetOfThings #IoT #SmartCity #AutonomousVehicle #…",en,0,28,BOCKREITER1,"Robot, InternetOfThings, IoT, SmartCity, AutonomousVehicle","Ronald_vanLoon, thisisinsider",La vérité est ailleurs,
1.16E+18,Sat Aug 10 20:45:32 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @CelineDarnet_: 700+ enterprise #Drone use-cases for 2019 &gt;&gt;&gt; @droneii via @MikeQuindazzi &gt;&gt;&gt; #AI #IoT #Robotics #DataScience #Autonomou…,en,0,37,ABetterInnovat1,"Drone, AI, IoT, Robotics, DataScience","CelineDarnet_, droneii, MikeQuindazzi","Tukwila, WA",
